event_id,state_event,Datetime Event Began,Datetime Restoration,Event Type,fips,state,county,start_time,duration,end_time,min_customers,max_customers,mean_customers
South Carolina-4,South Carolina,2016-10-08 08:21:00,2016-10-13 17:30:00,Severe Weather,45061,South Carolina,Lee,2016-10-08 22:30:00,141.25,2016-10-14 19:45:00,204,5517,2616.214159292035
Texas-5,Texas,2017-08-26 06:26:00,2017-09-08 00:00:00,Severe Weather,48245,Texas,Jefferson,2017-08-28 00:15:00,331.25,2017-09-10 19:30:00,282.0,20255.0,6314.094339622641
Texas-12,Texas,2017-08-27 05:10:00,2017-09-08 00:00:00,Severe Weather,48245,Texas,Jefferson,2017-08-28 00:15:00,331.25,2017-09-10 19:30:00,282.0,20255.0,6314.094339622641
Texas-5,Texas,2017-08-26 06:26:00,2017-09-08 00:00:00,Severe Weather,48361,Texas,Orange,2017-08-29 17:45:00,292.75,2017-09-10 22:30:00,333.0,30535.0,11547.373185311699
Texas-12,Texas,2017-08-27 05:10:00,2017-09-08 00:00:00,Severe Weather,48361,Texas,Orange,2017-08-29 17:45:00,292.75,2017-09-10 22:30:00,333.0,30535.0,11547.373185311699
Texas-5,Texas,2017-08-26 06:26:00,2017-09-08 00:00:00,Severe Weather,48199,Texas,Hardin,2017-08-28 02:15:00,285.25,2017-09-08 23:30:00,218.0,14413.0,3874.8606485539
Texas-12,Texas,2017-08-27 05:10:00,2017-09-08 00:00:00,Severe Weather,48199,Texas,Hardin,2017-08-28 02:15:00,285.25,2017-09-08 23:30:00,218.0,14413.0,3874.8606485539
Texas-3,Texas,2017-08-25 18:30:00,2017-09-05 17:00:00,Severe Weather,48291,Texas,Liberty,2017-08-27 19:45:00,216.5,2017-09-05 20:15:00,253.0,6321.0,2201.310623556582
Texas-5,Texas,2017-08-26 06:26:00,2017-09-08 00:00:00,Severe Weather,48291,Texas,Liberty,2017-08-27 19:45:00,216.5,2017-09-05 20:15:00,253.0,6321.0,2201.310623556582
Texas-12,Texas,2017-08-27 05:10:00,2017-09-08 00:00:00,Severe Weather,48291,Texas,Liberty,2017-08-27 19:45:00,216.5,2017-09-05 20:15:00,253.0,6321.0,2201.310623556582
