system:index,base_valid_px,cloud_frac,cloudy_px,county,date,event_id,img_exists,.geo
103,11201.37254901964,0.9999282300838482,11200.568627451012,Dallas,2021-02-18,Texas-9,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
104,11225.623529411798,0.0016593689367532351,18.627450980392155,Dallas,2021-02-19,Texas-9,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
105,11225.623529411798,0.0011580648474393631,13.0,Dallas,2021-02-20,Texas-9,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
106,11225.623529411798,0.00412816057381326,46.34117647058823,Dallas,2021-02-21,Texas-9,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
107,11225.623529411798,4.454095567074474E-4,5.0,Dallas,2022-09-04,Texas-8,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
108,11225.623529411798,0.00674647008559547,75.73333333333333,Dallas,2022-09-05,Texas-8,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
109,11225.623529411798,0.13668588739906629,1534.38431372549,Dallas,2022-09-06,Texas-8,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
110,11225.623529411798,0.0,0.0,Dallas,2022-09-07,Texas-8,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
111,0,-1,0,Harris,2022-08-10,Texas-32,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
112,21304.24313725487,1.0,21304.24313725487,Harris,2022-08-11,Texas-32,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
113,21304.24313725487,0.42230121883112054,8996.807843137267,Harris,2022-08-12,Texas-32,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
114,21304.24313725487,0.16721422704710234,3562.372549019608,Harris,2023-01-25,Texas-0,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
115,21304.24313725487,0.002834195599808714,60.38039215686275,Harris,2023-01-26,Texas-0,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
116,21304.24313725487,0.11684904157912404,2489.3803921568624,Harris,2023-01-27,Texas-0,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
117,21304.24313725487,0.7444441703779171,15859.819607843136,Harris,2023-01-28,Texas-0,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
118,21304.24313725487,0.16721422704710234,3562.372549019608,Harris,2023-01-25,Texas-33,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
119,21304.24313725487,0.002834195599808714,60.38039215686275,Harris,2023-01-26,Texas-33,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
120,21304.24313725487,0.11684904157912404,2489.3803921568624,Harris,2023-01-27,Texas-33,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
121,21304.24313725487,0.7444441703779171,15859.819607843136,Harris,2023-01-28,Texas-33,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
122,11225.623529411798,0.9933768472269674,11151.274509803954,Dallas,2023-03-03,Texas-10,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
123,11225.623529411798,0.0,0.0,Dallas,2023-03-04,Texas-10,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
124,11225.623529411798,8.017372020734053E-4,9.0,Dallas,2023-03-05,Texas-10,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
